msisdn,category,applicationtype,age,gender,arpu,income,device,download,num_downloads,purchase_value
71171439,News,Playstore,26,1,0,54077,4,0,0,0
71112815,Sports,Playstore,68,0,0,33941,4,0,0,0
70959119,Sports,Playstore,66,1,0,75982,4,0,0,0
70953327,Lifestyle,Playstore,72,0,0,30831,2,1,62476,3324
70929023,Travel,Playstore,21,0,320340.9091,59168,3,0,0,0
70899647,Music,Playstore,66,0,9090.909091,23518,2,1,76113,0
70893263,Games,Playstore,65,1,0,59911,3,1,63248,0
70890399,News,Playstore,37,0,0,12556,2,1,46125,0
70888399,Education,Playstore,72,1,0,14303,2,0,0,0
70870959,ecommerce,Playstore,36,0,96868.18182,39489,2,1,17285,3487
70869151,Games,Playstore,59,0,0,26965,4,1,75238,0
70851823,Others,Playstore,80,1,2284.545455,78615,2,0,0,0
70837503,Education,Playstore,16,1,0,64567,3,0,0,0
70796031,Music,Playstore,38,0,10230.90909,84230,4,1,51236,5363
70790783,ecommerce,Playstore,54,0,261363.6364,10796,3,1,68603,5153
70789775,e-Book,Playstore,37,1,54545.45455,65320,3,1,83930,9187
70784671,ecommerce,Playstore,33,0,0,94557,4,1,33381,0
70782815,Education,Playstore,74,0,0,77854,2,0,0,0
70705263,Video,Playstore,15,0,169990.9091,92390,3,0,0,0
70701215,Video,Playstore,78,0,0,36393,3,1,81891,0
70635855,Banking,Playstore,18,0,0,16947,4,1,76916,5610
70624703,News,Playstore,76,0,0,12272,2,1,32709,0
70618527,Games,Playstore,50,0,0,87630,3,0,0,0
70612799,Games,Playstore,66,1,0,37203,4,0,0,0
70519295,Education,Playstore,57,1,0,66900,4,0,0,0
70485039,Travel,Playstore,77,1,22727.27273,44272,3,0,0,0
70475999,Others,Playstore,62,0,0,93286,4,0,0,0
70407327,e-Book,Playstore,34,1,0,58348,4,0,0,0
70406143,ecommerce,Playstore,45,1,0,33559,3,0,0,0
70384063,Travel,Playstore,36,0,0,36223,4,0,0,0
70336943,Banking,Playstore,18,0,0,36265,2,0,0,0
70336143,Sports,Playstore,54,1,59000,99670,2,0,0,0
70334511,Communication,Playstore,19,1,322727.2727,91160,4,0,0,0
70311071,Banking,Playstore,16,0,146017.2727,45559,4,1,91669,0
70294799,News,Playstore,37,1,13495.45455,81981,3,1,76372,1559
70291375,Lifestyle,Playstore,55,1,0,70403,2,0,0,0
70216815,Others,Playstore,79,1,0,70773,3,1,93559,7609
70175055,Education,Playstore,65,0,0,95533,3,1,45998,0
70061535,Education,Playstore,62,0,0,48072,2,0,0,0
70042319,Lifestyle,Playstore,73,1,15100,56066,4,1,39643,4386
70014559,Sports,Playstore,52,0,0,30406,2,1,92060,4176
61735759,Others,Playstore,37,0,0,67302,3,0,0,0
61730527,Lifestyle,Playstore,26,1,0,14651,2,1,93422,1087
61693327,Games,Playstore,56,1,0,16227,3,0,0,0
61691231,Lifestyle,Playstore,80,1,0,76247,2,0,0,0
61364447,Education,Playstore,63,1,0,64715,3,1,51223,0
61349087,Travel,Playstore,63,1,147100,30045,4,0,0,0
61340047,Lifestyle,Playstore,79,0,0,41037,2,1,15495,5808
61321983,Education,Playstore,18,1,0,99085,2,1,73255,0
61316911,Lifestyle,Playstore,47,1,0,85355,3,1,22007,4623
5620026888,e-Book,Playstore,16,0,0,83673,3,0,0,0
5620021704,Communication,Playstore,37,1,0,55580,3,0,0,0
5620021448,Education,Playstore,64,0,1044.545455,23022,3,0,0,0
5620018712,Lifestyle,Playstore,69,0,0,37284,2,0,0,0
5620017224,News,Playstore,60,0,109090.9091,70619,2,1,97871,0
5620015864,Communication,Playstore,55,0,327272.7273,35008,2,0,0,0
5620013304,Video,Playstore,56,0,0,35403,3,1,37647,0
5620002248,Sports,Playstore,43,0,163636.3636,48600,2,0,0,0
5620001320,Sports,Playstore,35,1,0,54093,4,1,71676,7236
5619927128,Sports,Playstore,29,0,0,79413,4,1,87384,0
5619926728,Video,Playstore,37,0,0,10700,2,0,0,0
5619925144,News,Playstore,66,0,0,22814,4,0,0,0
5619917320,ecommerce,Playstore,21,1,98090.90909,93031,4,1,62109,0
5619915176,Banking,Playstore,69,1,0,88293,2,0,0,0
5619902584,News,Playstore,55,1,0,99376,4,1,86339,0
5619902344,Others,Playstore,43,1,0,99389,4,1,17008,0
5619901320,News,Playstore,55,1,0,23101,2,1,48887,0
5619900680,Music,Playstore,60,0,0,92019,2,0,0,0
5619827352,Lifestyle,Playstore,24,0,0,59603,4,1,41706,0
5619821272,ecommerce,Playstore,63,0,0,42170,4,1,91429,6225
5619817848,News,Playstore,56,0,152164.5455,12484,2,0,0,0
5619801384,Games,Playstore,22,1,0,12584,4,0,0,0
5619800280,Music,Playstore,36,1,0,95567,4,0,0,0
5619800232,Communication,Playstore,36,1,0,65815,4,0,0,0
5618313256,Travel,Playstore,17,1,22727.27273,96747,4,1,39531,3728
5618298616,News,Playstore,50,1,31818.18182,65608,3,0,0,0
5618280216,Travel,Playstore,66,0,0,91567,3,1,52087,0
5618280168,Others,Playstore,18,1,0,31885,3,1,80754,0
5618279608,Banking,Playstore,25,0,13636.36364,85223,2,0,0,0
5618278792,Lifestyle,Playstore,79,0,31818.18182,83411,4,0,0,0
